Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.201630289,0.123798519,7300,50,FALSE
0.909079247,0.131692781,7400,50,
0.246862912,0.12573405,7500,50,FALSE
0.207814208,0.132317331,7600,50,FALSE
0.209757587,0.130551143,7700,50,FALSE
0.24337461,0.125288202,7800,50,FALSE
0.22778622,0.12875145,7900,50,FALSE
0.222512411,0.128880345,8000,50,FALSE
0.245343044,0.136699442,8100,50,FALSE
0.222119087,0.126263212,8200,50,FALSE
0.273200563,0.131757077,8300,50,FALSE
0.231674186,0.140874478,8400,50,FALSE
0.235886049,0.126437084,8500,50,FALSE
0.267955129,0.125589459,8600,50,FALSE
0.230761963,0.126147298,8700,50,FALSE
0.239351108,0.12713076,8800,50,FALSE
0.283780178,0.136038971,8900,50,FALSE
0.258260268,0.133058097,9000,50,FALSE
0.240885768,0.129052405,9100,50,FALSE
0.277704023,0.135865099,9200,50,FALSE
0.223085946,0.128119051,9300,50,FALSE
0.14237533,0.136963571,9400,50,FALSE
0.161115146,0.131482685,9500,50,FALSE
0.260145992,0.147294453,9600,50,FALSE
0.334961269,0.147979677,9700,50,FALSE
0.259300178,0.137213814,9800,50,FALSE
0.295559387,0.132850718,9900,50,FALSE
0.263969662,0.13687754,10000,50,FALSE
0.054512124,0.116955638,1000,60,TRUE
0.072965775,0.122262048,1100,60,TRUE
0.056202543,0.132326689,1200,60,TRUE
0.06050738,0.115616584,1300,60,TRUE
0.062390387,0.116095938,1400,60,TRUE
0.065615768,0.115696274,1500,60,TRUE
0.080274428,0.123086731,1600,60,TRUE
0.070605526,0.122772494,1700,60,TRUE
0.073567686,0.113892355,1800,60,TRUE
0.080064634,0.118391891,1900,60,TRUE
0.089197129,0.115485274,2000,60,TRUE
0.084409919,0.120059068,2100,60,TRUE
0.084988587,0.119291436,2200,60,TRUE
0.087820343,0.115606925,2300,60,TRUE
0.093340167,0.117262932,2400,60,TRUE
0.115116099,0.128849857,2500,60,TRUE
0.100329149,0.120459336,2600,60,TRUE
0.108684654,0.117303683,2700,60,TRUE
0.111395666,0.117096306,2800,60,TRUE
0.112997338,0.121501962,2900,60,TRUE
0.118282618,0.121130674,3000,60,TRUE
0.110711045,0.12125987,3100,60,TRUE
0.136473349,0.117671954,3200,60,FALSE
0.116750674,0.129268537,3300,60,TRUE
0.119068965,0.119115149,3400,60,TRUE
0.122291932,0.123017907,3500,60,TRUE
0.128440835,0.122171791,3600,60,FALSE
0.133181256,0.126760075,3700,60,FALSE
0.15418382,0.122733856,3800,60,FALSE
0.134322893,0.120222978,3900,60,FALSE
0.140293698,0.124409183,4000,60,FALSE
0.141113553,0.230198993,4100,60,TRUE
0.150303702,0.13260108,4200,60,FALSE
0.1649361,0.125001736,4300,60,FALSE
0.150938817,0.120140872,4400,60,FALSE
0.120616002,0.125165646,4500,60,TRUE
0.076627346,0.122931574,4600,60,TRUE
0.185942286,0.123227399,4700,60,FALSE
0.165455903,0.121534262,4800,60,FALSE
0.16984526,0.122622771,4900,60,FALSE
0.167199451,0.126383956,5000,60,FALSE
0.198573346,0.130825535,5100,60,FALSE
0.171188238,0.12242777,5200,60,FALSE
0.174241862,0.123515977,5300,60,FALSE
0.187244815,0.121990976,5400,60,FALSE
0.200962574,0.122015729,5500,60,FALSE
0.184807893,0.123102428,5600,60,FALSE
0.186067255,0.122984702,5700,60,FALSE
0.225563015,0.123332446,5800,60,FALSE
0.195833959,0.1229844,5900,60,FALSE
0.202701895,0.128304394,6000,60,FALSE
0.246071132,0.123564577,6100,60,FALSE
0.096594226,0.124979096,6200,60,TRUE
0.122858525,0.131977737,6300,60,TRUE
0.209944138,0.124105512,6400,60,FALSE
0.237334075,0.125091992,6500,60,FALSE
0.224808968,0.125184362,6600,60,FALSE
0.216828071,0.125984293,6700,60,FALSE
0.259726405,0.129850524,6800,60,FALSE
0.220285886,0.129480443,6900,60,FALSE
0.228756702,0.126026251,7000,60,FALSE
0.24316059,0.129707744,7100,60,FALSE
0.235395526,0.13635351,7200,60,FALSE
0.851208318,0.154432251,7300,60,
0.25352679,0.133080736,7400,60,FALSE
0.250293559,0.126878706,7500,60,FALSE
0.28233668,0.132713674,7600,60,FALSE
0.17317569,0.13506698,7700,60,FALSE
0.251445762,0.148970081,7800,60,FALSE
0.284113734,0.132866717,7900,60,FALSE
0.260717414,0.128849554,8000,60,FALSE
0.294585887,0.133597522,8100,60,FALSE
0.265905495,0.133720681,8200,60,FALSE
0.275873238,0.133496097,8300,60,FALSE
0.332296744,0.133833275,8400,60,FALSE
0.27843513,0.130228756,8500,60,FALSE
0.317965,0.133109112,8600,60,FALSE
0.287767154,0.137812101,8700,60,FALSE
0.343734549,0.137402477,8800,60,FALSE
0.295692507,0.134462051,8900,60,FALSE
0.293969185,0.129641034,9000,60,FALSE
0.328216492,0.135314204,9100,60,FALSE
0.303416219,0.135349823,9200,60,FALSE
0.320714951,0.133046928,9300,60,FALSE
0.302150516,0.135546637,9400,60,FALSE
0.341207069,0.138637992,9500,60,FALSE
0.31343407,0.13643622,9600,60,FALSE
0.596038199,0.137323389,9700,60,FALSE
0.311821832,0.136704876,9800,60,FALSE
0.36434258,0.141165774,9900,60,FALSE
0.331646837,3.144720788,10000,60,
0.064482584,0.127977479,1000,70,TRUE
0.060281587,0.117914045,1100,70,TRUE
0.063492782,0.113845868,1200,70,TRUE
0.065927289,0.115797097,1300,70,TRUE
0.072282061,0.12220077,1400,70,TRUE
0.109583897,0.120581891,1500,70,TRUE
0.078051525,0.115212996,1600,70,TRUE
0.082138418,0.115139643,1700,70,TRUE
0.090914414,0.120225091,1800,70,TRUE
0.088612726,0.118510522,1900,70,TRUE
0.092091973,0.118971162,2000,70,TRUE
0.097898566,0.119396484,2100,70,TRUE
0.109307694,0.120607549,2200,70,TRUE
0.100450195,0.120411038,2300,70,TRUE
0.12074399,0.122853694,2400,70,TRUE
0.108879656,0.118074032,2500,70,TRUE
0.101162888,0.121910682,2600,70,TRUE
0.10308061,0.117728703,2700,70,TRUE
0.117624561,0.118952748,2800,70,TRUE
0.199666685,0.123824479,2900,70,FALSE
0.161641289,0.125406229,3000,70,FALSE
0.129407091,0.120096197,3100,70,FALSE
0.132904752,0.128020946,3200,70,FALSE
0.134622943,0.123321579,3300,70,FALSE
0.139762725,0.125066033,3400,70,FALSE
0.166097055,0.120682109,3500,70,FALSE
0.141834395,0.130715959,3600,70,FALSE
0.146813286,0.123614686,3700,70,FALSE
0.160906259,0.12514995,3800,70,FALSE
0.152279683,0.190362432,3900,70,TRUE
0.181696916,0.121924567,4000,70,FALSE
0.158123102,0.121858158,4100,70,FALSE
0.167466899,0.121874458,4200,70,FALSE
0.168639629,0.12572107,4300,70,FALSE
0.194030644,0.12620616,4400,70,FALSE
0.172760631,0.121503774,4500,70,FALSE
0.192494776,0.122241823,4600,70,FALSE
0.142489132,0.121955659,4700,70,FALSE
0.10741533,0.143341285,4800,70,TRUE
0.092159288,0.124100078,4900,70,TRUE
0.195401091,0.123745995,5000,70,FALSE
0.236827552,0.141764062,5100,70,FALSE
0.198471619,0.124785906,5200,70,FALSE
0.20743326,0.125084144,5300,70,FALSE
0.20292648,0.129852336,5400,70,FALSE
0.227191555,0.124035479,5500,70,FALSE
0.211221009,0.128162217,5600,70,FALSE
0.215910717,0.126536396,5700,70,FALSE
0.24595582,0.130820705,5800,70,FALSE
0.222093428,0.126807164,5900,70,FALSE
0.221405488,0.12698164,6000,70,FALSE
0.249509023,0.136244539,6100,70,FALSE
0.235992304,0.133464401,6200,70,FALSE
0.286525903,0.126820749,6300,70,FALSE
0.252448242,0.127977177,6400,70,FALSE
0.185241666,0.127806022,6500,70,FALSE
0.234379462,0.128796125,6600,70,FALSE
0.267776729,0.128840197,6700,70,FALSE
0.263490911,0.133463194,6800,70,FALSE
0.288699301,0.136785775,6900,70,FALSE
0.260885249,0.137932544,7000,70,FALSE
0.325957065,0.13352417,7100,70,FALSE
0.272697361,0.130146952,7200,70,FALSE
0.269793461,0.133999902,7300,70,FALSE
0.307918773,0.133271814,7400,70,FALSE
0.291272965,0.133663025,7500,70,FALSE
0.859760334,0.128609576,7600,70,
0.292180056,0.130044319,7700,70,FALSE
0.343391031,0.142599311,7800,70,FALSE
0.288246509,3.139771781,7900,70,
0.308914611,0.18016286,8000,70,FALSE
0.338782222,0.14087478,8100,70,FALSE
0.312339222,0.136064328,8200,70,FALSE
0.338958508,0.132483354,8300,70,FALSE
0.305563354,0.136676803,8400,70,FALSE
0.303940551,0.135704812,8500,70,FALSE
0.270369412,0.135661645,8600,70,FALSE
0.355245102,0.13488043,8700,70,FALSE
0.325312894,0.133413387,8800,70,FALSE
0.362413992,0.135140936,8900,70,FALSE
0.333050792,0.137988388,9000,70,FALSE
0.922185134,0.144778745,9100,70,
